project,commit,path,status_diff3,time_diff3,phase1_time_diff3,phase2_time_diff3,phase2_unify_time_diff3,phase2_diffy_calls_diff3,phase2_diffy_time_diff3,phase3_time_diff3,phase3_unify_time_diff3,phase3_diffy_calls_diff3,phase3_diffy_time_diff3,total_merge_module_time_diff3,status_mergiraf,time_mergiraf,phase1_time_mergiraf,phase2_time_mergiraf,phase2_unify_time_mergiraf,phase2_diffy_calls_mergiraf,phase2_diffy_time_mergiraf,phase3_time_mergiraf,phase3_unify_time_mergiraf,phase3_diffy_calls_mergiraf,phase3_diffy_time_mergiraf,total_merge_module_time_mergiraf,status_mergiraf_semi,time_mergiraf_semi,phase1_time_mergiraf_semi,phase2_time_mergiraf_semi,phase2_unify_time_mergiraf_semi,phase2_diffy_calls_mergiraf_semi,phase2_diffy_time_mergiraf_semi,phase3_time_mergiraf_semi,phase3_unify_time_mergiraf_semi,phase3_diffy_calls_mergiraf_semi,phase3_diffy_time_mergiraf_semi,total_merge_module_time_mergiraf_semi,status_mergiraf_semi_plus,time_mergiraf_semi_plus,phase1_time_mergiraf_semi_plus,phase2_time_mergiraf_semi_plus,phase2_unify_time_mergiraf_semi_plus,phase2_diffy_calls_mergiraf_semi_plus,phase2_diffy_time_mergiraf_semi_plus,phase3_time_mergiraf_semi_plus,phase3_unify_time_mergiraf_semi_plus,phase3_diffy_calls_mergiraf_semi_plus,phase3_diffy_time_mergiraf_semi_plus,total_merge_module_time_mergiraf_semi_plus,status_s3m,time_s3m,phase1_time_s3m,phase2_time_s3m,phase2_unify_time_s3m,phase2_diffy_calls_s3m,phase2_diffy_time_s3m,phase3_time_s3m,phase3_unify_time_s3m,phase3_diffy_calls_s3m,phase3_diffy_time_s3m,total_merge_module_time_s3m
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/src/java/org/apache/cassandra/schema/SchemaConstants.java,SUCCESS_WITH_CONFLICTS,2890147,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,91436825,44.652008ms,42.555501ms,,0.0,0ns,,,,,88.666935ms,SUCCESS_WITH_CONFLICTS,87022701,44.698518ms,12.288827ms,1.871618ms,0.0,0ns,27.085392ms,15.294591ms,0.0,0ns,84.376965ms,SUCCESS_WITH_CONFLICTS,87169546,44.598167ms,12.33095ms,1.852138ms,0.0,0ns,27.168493ms,15.374671ms,0.0,0ns,84.396596ms,SUCCESS_WITH_CONFLICTS,308050098402,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/src/java/org/apache/cassandra/schema/SchemaKeyspace.java,SUCCESS_WITH_CONFLICTS,3831129,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,5073426577,3.459454812s,849.059398ms,,0.0,0ns,673.164463ms,,0.0,0ns,4.982081656s,SUCCESS_WITH_CONFLICTS,6970114446,3.43587914s,200.669518ms,133.112456ms,0.0,0ns,3.246035527s,3.192120285s,0.0,0ns,6.882921066s,SUCCESS_WITH_CONFLICTS,6904260856,3.435149316s,201.604286ms,133.66635ms,0.0,0ns,3.258369736s,3.204570655s,0.0,0ns,6.895466819s,SUCCESS_WITH_CONFLICTS,344445219111,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/src/java/org/apache/cassandra/schema/SystemDistributedKeyspace.java,SUCCESS_WITH_CONFLICTS,3301170,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,944160321,562.911312ms,204.26527ms,,0.0,0ns,149.860313ms,,0.0,0ns,917.412199ms,SUCCESS_WITH_CONFLICTS,1292856456,570.253036ms,91.124217ms,59.759335ms,0.0,0ns,622.595207ms,601.729149ms,0.0,0ns,1.284318246s,SUCCESS_WITH_CONFLICTS,1277636001,565.690113ms,89.975631ms,59.218138ms,0.0,0ns,618.43149ms,598.071173ms,0.0,0ns,1.274442544s,SUCCESS_WITH_CONFLICTS,332261905472,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/src/java/org/apache/cassandra/schema/TableParams.java,SUCCESS_WITH_CONFLICTS,2961436,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,450654464,258.280447ms,,,0.0,0ns,191.596627ms,,,,450.189735ms,SUCCESS_WITH_CONFLICTS,1142285458,259.40466ms,,817.432525ms,0.0,0ns,842.212905ms,,,,1.101921407s,SUCCESS_WITH_CONFLICTS,1115156128,259.140935ms,,814.797927ms,0.0,0ns,839.571838ms,,,,1.099010545s,SUCCESS_WITH_CONFLICTS,628755488081,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/src/java/org/apache/cassandra/service/ActiveRepairService.java,SUCCESS_WITH_CONFLICTS,3504591,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,798145750,477.846503ms,,,0.0,0ns,317.13016ms,,,,796.502696ms,SUCCESS_WITHOUT_CONFLICTS,3601022732,478.345374ms,,3.063775555s,0.0,0ns,3.10567019s,,,,3.585536433s,SUCCESS_WITHOUT_CONFLICTS,3620641274,478.641172ms,,3.078201492s,0.0,0ns,3.120189714s,,,,3.600317424s,SUCCESS_WITH_CONFLICTS,646804781740,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/src/java/org/apache/cassandra/service/ActiveRepairServiceMBean.java,SUCCESS_WITHOUT_CONFLICTS,2452970,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,6386475,4.129178ms,,,,,,,,,4.309954ms,SUCCESS_WITHOUT_CONFLICTS,38489989,3.688746ms,,,,,,,,,3.884121ms,SUCCESS_WITHOUT_CONFLICTS,6518905,3.80311ms,,,,,,,,,3.990007ms,SUCCESS_WITHOUT_CONFLICTS,722733237,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/src/java/org/apache/cassandra/service/StorageService.java,SUCCESS_WITH_CONFLICTS,11456579,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,13122150642,10.25563231s,,,0.0,0ns,3.101319602s,,,,13.357317965s,SUCCESS_WITH_CONFLICTS,19953314803,9.927621007s,,,,,,,,,19.927979765s,SUCCESS_WITH_CONFLICTS,19991548435,9.949193454s,,,,,,,,,19.949574683s,SUCCESS_WITH_CONFLICTS,821956787453,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/src/java/org/apache/cassandra/service/StorageServiceMBean.java,SUCCESS_WITH_CONFLICTS,3589433,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,1119826098,341.383856ms,464.093168ms,,0.0,0ns,294.871075ms,,0.0,0ns,1.100727497s,SUCCESS_WITH_CONFLICTS,4386399569,340.006732ms,109.738416ms,37.46665ms,0.0,0ns,3.937482269s,3.866105869s,0.0,0ns,4.387571823s,SUCCESS_WITH_CONFLICTS,4403949696,340.546149ms,109.663951ms,37.498798ms,0.0,0ns,3.948041136s,3.875426506s,0.0,0ns,4.398590889s,SUCCESS_WITHOUT_CONFLICTS,318155389245,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/src/java/org/apache/cassandra/tools/NodeProbe.java,SUCCESS_WITH_CONFLICTS,4834824,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,6628295986,5.831525901s,,,0.0,0ns,797.180878ms,,,,6.629040379s,SUCCESS_WITH_CONFLICTS,15883945975,5.852498789s,,,,,,,,,15.853028459s,SUCCESS_WITH_CONFLICTS,15970559388,5.943660644s,,,,,,,,,15.944033965s,SUCCESS_WITHOUT_CONFLICTS,707370629645,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/src/java/org/apache/cassandra/tools/NodeTool.java,SUCCESS_WITH_CONFLICTS,2898662,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,641684242,309.814935ms,153.358599ms,,0.0,0ns,159.654721ms,,0.0,0ns,623.217977ms,SUCCESS_WITH_CONFLICTS,473916041,284.205867ms,23.0891ms,5.719364ms,0.0,0ns,130.727782ms,102.236652ms,0.0,0ns,438.338038ms,SUCCESS_WITH_CONFLICTS,438409021,282.667202ms,23.1044ms,5.698575ms,0.0,0ns,129.266266ms,102.398873ms,0.0,0ns,435.383019ms,SUCCESS_WITH_CONFLICTS,329351162370,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/test/distributed/org/apache/cassandra/distributed/impl/Instance.java,SUCCESS_WITH_CONFLICTS,3545487,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,5603964719,4.51242432s,581.726116ms,,0.0,0ns,419.739079ms,,0.0,0ns,5.514259042s,SUCCESS_WITH_CONFLICTS,7401969508,4.510047569s,57.135079ms,17.572218ms,0.0,0ns,2.813660009s,2.771126886s,0.0,0ns,7.381179575s,SUCCESS_WITH_CONFLICTS,7411657262,4.509993498s,57.506141ms,18.01695ms,0.0,0ns,2.822064156s,2.779607379s,0.0,0ns,7.389894428s,SUCCESS_WITH_CONFLICTS,775434501230,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/test/unit/org/apache/cassandra/Util.java,SUCCESS_WITH_CONFLICTS,3507580,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,3438162139,3.077430387s,,,0.0,0ns,398.88583ms,,,,3.476647404s,SUCCESS_WITH_CONFLICTS,7048594587,3.001134086s,,4.020474855s,0.0,0ns,4.063519622s,,,,7.064991328s,SUCCESS_WITH_CONFLICTS,7044914029,2.998103816s,,3.990662802s,0.0,0ns,4.032761815s,,,,7.031159064s,SUCCESS_WITH_CONFLICTS,747608927739,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/test/unit/org/apache/cassandra/config/DatabaseDescriptorRefTest.java,SUCCESS_WITH_CONFLICTS,2950386,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,438137263,180.647784ms,138.217191ms,,0.0,0ns,116.9348ms,,0.0,0ns,436.160461ms,SUCCESS_WITH_CONFLICTS,224599603,188.030091ms,17.59373ms,5.3513ms,0.0,0ns,15.949446ms,5.129039ms,0.0,0ns,221.921451ms,SUCCESS_WITH_CONFLICTS,216481653,180.333382ms,16.824392ms,5.140161ms,0.0,0ns,15.101864ms,4.860933ms,0.0,0ns,212.576089ms,SUCCESS_WITH_CONFLICTS,349996601917,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/test/unit/org/apache/cassandra/config/YamlConfigurationLoaderTest.java,SUCCESS_WITH_CONFLICTS,2992958,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,511571048,194.007269ms,,,0.0,0ns,317.664444ms,,,,513.180281ms,SUCCESS_WITHOUT_CONFLICTS,406854694,192.453181ms,,184.464775ms,0.0,0ns,209.443334ms,,,,403.334312ms,SUCCESS_WITHOUT_CONFLICTS,406640074,191.860803ms,,184.714051ms,0.0,0ns,209.555167ms,,,,402.872079ms,SUCCESS_WITHOUT_CONFLICTS,689266729771,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/test/unit/org/apache/cassandra/cql3/SystemKeyspaceTablesNamesTest.java,SUCCESS_WITHOUT_CONFLICTS,2487270,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,15186260,12.171798ms,,,,,,,,,12.387732ms,SUCCESS_WITHOUT_CONFLICTS,15487166,12.641714ms,,,,,,,,,12.843104ms,SUCCESS_WITHOUT_CONFLICTS,15283264,12.5777ms,,,,,,,,,12.77258ms,SUCCESS_WITHOUT_CONFLICTS,732310892,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/test/unit/org/apache/cassandra/service/ActiveRepairServiceTest.java,SUCCESS_WITH_CONFLICTS,3037107,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,513528161,285.990608ms,,,0.0,0ns,226.51077ms,,,,512.832686ms,SUCCESS_WITH_CONFLICTS,1313539507,284.186473ms,,999.94119ms,0.0,0ns,1.024671976s,,,,1.309160774s,SUCCESS_WITH_CONFLICTS,1366808600,285.48118ms,,999.026042ms,0.0,0ns,1.02357392s,,,,1.309349416s,SUCCESS_WITH_CONFLICTS,751845879535,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/test/unit/org/apache/cassandra/service/StorageServiceServerTest.java,SUCCESS_WITH_CONFLICTS,3498882,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,2304276414,1.216513404s,521.927902ms,,0.0,0ns,554.262513ms,,0.0,0ns,2.29306209s,SUCCESS_WITH_CONFLICTS,2400171894,1.214550581s,387.527227ms,347.633802ms,0.0,0ns,707.744798ms,667.475636ms,0.0,0ns,2.310142181s,SUCCESS_WITH_CONFLICTS,2341873369,1.2172262s,388.130914ms,348.053976ms,0.0,0ns,732.651318ms,692.254245ms,0.0,0ns,2.33833542s,SUCCESS_WITH_CONFLICTS,750898788991,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/test/unit/org/apache/cassandra/tools/JMXStandardsTest.java,SUCCESS_WITHOUT_CONFLICTS,2659051,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,120484779,57.515907ms,,,0.0,0ns,58.244885ms,,,,117.134395ms,SUCCESS_WITH_CONFLICTS,92739359,57.361183ms,,19.213418ms,0.0,0ns,32.328773ms,,,,89.985019ms,SUCCESS_WITH_CONFLICTS,94233029,56.84074ms,,19.333832ms,0.0,0ns,32.3878ms,,,,89.519441ms,SUCCESS_WITHOUT_CONFLICTS,738133438971,,,,,,,,,,
apache/cassandra,73063437b6c0ec8535f02488dca7afafc271961c,mergeAnalysisOutput/java/apache/cassandra/73063437b6c0ec8535f02488dca7afafc271961c/test/unit/org/apache/cassandra/tools/nodetool/TableHistogramsTest.java,SUCCESS_WITH_CONFLICTS,3243832,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,73914613,39.873799ms,30.515322ms,,0.0,0ns,,,,,71.724537ms,SUCCESS_WITH_CONFLICTS,68727306,38.998748ms,9.493751ms,1.60681ms,0.0,0ns,17.171902ms,7.00791ms,0.0,0ns,65.962822ms,SUCCESS_WITH_CONFLICTS,69509948,39.870734ms,9.505126ms,1.542924ms,0.0,0ns,17.259008ms,7.041469ms,0.0,0ns,66.942979ms,SUCCESS_WITH_CONFLICTS,374843909257,,,,,,,,,,
apache/cassandra,99be618ec16439c1bd8791ae9e93ca74184ac144,mergeAnalysisOutput/java/apache/cassandra/99be618ec16439c1bd8791ae9e93ca74184ac144/test/unit/org/apache/cassandra/config/ConfigCompatibilityTest.java,SUCCESS_WITHOUT_CONFLICTS,3097115,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,136392226,132.988618ms,,,,,,,,,133.208185ms,SUCCESS_WITHOUT_CONFLICTS,136587971,133.400338ms,,,,,,,,,133.618959ms,SUCCESS_WITHOUT_CONFLICTS,142159705,133.662891ms,,,,,,,,,133.902717ms,SUCCESS_WITHOUT_CONFLICTS,386332924841,,,,,,,,,,
apache/cassandra,99be618ec16439c1bd8791ae9e93ca74184ac144,mergeAnalysisOutput/java/apache/cassandra/99be618ec16439c1bd8791ae9e93ca74184ac144/test/unit/org/apache/cassandra/db/virtual/SettingsTableTest.java,SUCCESS_WITHOUT_CONFLICTS,2690588,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,128163310,124.696466ms,,,,,,,,,124.902559ms,SUCCESS_WITHOUT_CONFLICTS,128180166,124.65982ms,,,,,,,,,124.864963ms,SUCCESS_WITHOUT_CONFLICTS,128212367,124.813556ms,,,,,,,,,125.052009ms,SUCCESS_WITHOUT_CONFLICTS,376357259867,,,,,,,,,,
apache/cassandra,56c3d72fe896fe09bf3d3927ed58882429a6ebe5,mergeAnalysisOutput/java/apache/cassandra/56c3d72fe896fe09bf3d3927ed58882429a6ebe5/src/java/org/apache/cassandra/cql3/QueryProcessor.java,SUCCESS_WITHOUT_CONFLICTS,5772267,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,767469414,765.038876ms,,,,,,,,,765.264625ms,SUCCESS_WITHOUT_CONFLICTS,782799509,782.524302ms,,,,,,,,,782.767948ms,SUCCESS_WITHOUT_CONFLICTS,804704035,814.567763ms,,,,,,,,,814.804723ms,SUCCESS_WITHOUT_CONFLICTS,429338040118,,,,,,,,,,
AxonFramework/AxonFramework,87e7db1a653fe64fdab3543dc37b01e208afc6dc,mergeAnalysisOutput/java/AxonFramework/AxonFramework/87e7db1a653fe64fdab3543dc37b01e208afc6dc/messaging/src/main/java/org/axonframework/configuration/MessagingConfigurationDefaults.java,SUCCESS_WITHOUT_CONFLICTS,6343948,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,141814994,95.454057ms,,,,,,,,,95.657086ms,SUCCESS_WITHOUT_CONFLICTS,98250813,95.238198ms,,,,,,,,,95.452195ms,SUCCESS_WITHOUT_CONFLICTS,97781058,94.782364ms,,,,,,,,,94.994171ms,SUCCESS_WITHOUT_CONFLICTS,391410313561,,,,,,,,,,
AxonFramework/AxonFramework,87e7db1a653fe64fdab3543dc37b01e208afc6dc,mergeAnalysisOutput/java/AxonFramework/AxonFramework/87e7db1a653fe64fdab3543dc37b01e208afc6dc/messaging/src/test/java/org/axonframework/configuration/MessagingConfigurationDefaultsTest.java,SUCCESS_WITHOUT_CONFLICTS,8647744,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,125529028,122.506748ms,,,,,,,,,122.71061ms,SUCCESS_WITHOUT_CONFLICTS,126430460,123.232559ms,,,,,,,,,123.446883ms,SUCCESS_WITHOUT_CONFLICTS,126287882,123.1506ms,,,,,,,,,123.360905ms,SUCCESS_WITHOUT_CONFLICTS,791245358480,,,,,,,,,,
AxonFramework/AxonFramework,87e7db1a653fe64fdab3543dc37b01e208afc6dc,mergeAnalysisOutput/java/AxonFramework/AxonFramework/87e7db1a653fe64fdab3543dc37b01e208afc6dc/messaging/src/test/java/org/axonframework/configuration/MessagingConfigurerTest.java,SUCCESS_WITHOUT_CONFLICTS,3536224,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,160696098,157.819916ms,,,,,,,,,158.045273ms,SUCCESS_WITHOUT_CONFLICTS,160480055,157.086948ms,,,,,,,,,157.309631ms,SUCCESS_WITHOUT_CONFLICTS,161103661,157.897434ms,,,,,,,,,158.110384ms,TIMEOUT,0,,,,,,,,,,
AxonFramework/AxonFramework,87e7db1a653fe64fdab3543dc37b01e208afc6dc,mergeAnalysisOutput/java/AxonFramework/AxonFramework/87e7db1a653fe64fdab3543dc37b01e208afc6dc/todo/src/test/java/org/axonframework/eventhandling/scheduling/dbscheduler/AbstractDbSchedulerEventSchedulerTest.java,SUCCESS_WITH_CONFLICTS,5018000,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,344678496,255.33491ms,84.820235ms,,0.0,0ns,,,,,341.612003ms,SUCCESS_WITHOUT_CONFLICTS,272516658,255.475406ms,13.00414ms,1.808634ms,0.0,0ns,,,,,269.878376ms,SUCCESS_WITHOUT_CONFLICTS,276916107,259.808565ms,12.952808ms,1.821873ms,0.0,0ns,,,,,274.140498ms,TIMEOUT,0,,,,,,,,,,
AxonFramework/AxonFramework,87e7db1a653fe64fdab3543dc37b01e208afc6dc,mergeAnalysisOutput/java/AxonFramework/AxonFramework/87e7db1a653fe64fdab3543dc37b01e208afc6dc/todo/src/test/java/org/axonframework/eventhandling/scheduling/jobrunr/JobRunrEventSchedulerTest.java,SUCCESS_WITH_CONFLICTS,3515824,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,270404383,186.442805ms,79.499686ms,,0.0,0ns,,,,,267.372872ms,SUCCESS_WITHOUT_CONFLICTS,209380083,186.368511ms,17.126617ms,6.789866ms,0.0,0ns,,,,,204.877778ms,SUCCESS_WITHOUT_CONFLICTS,208991159,187.690774ms,17.173478ms,6.789284ms,0.0,0ns,,,,,206.286051ms,TIMEOUT,0,,,,,,,,,,
apache/cassandra,ab80b9e7c857c4962a3eb81d56158997f2cda421,mergeAnalysisOutput/java/apache/cassandra/ab80b9e7c857c4962a3eb81d56158997f2cda421/src/java/org/apache/cassandra/service/DataResurrectionCheck.java,SUCCESS_WITHOUT_CONFLICTS,3294664,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,81741118,78.283716ms,,,,,,,,,78.507265ms,SUCCESS_WITHOUT_CONFLICTS,81961956,78.023722ms,,,,,,,,,78.219682ms,SUCCESS_WITHOUT_CONFLICTS,81541802,78.313444ms,,,,,,,,,78.505428ms,TIMEOUT,0,,,,,,,,,,
apache/cassandra,ab80b9e7c857c4962a3eb81d56158997f2cda421,mergeAnalysisOutput/java/apache/cassandra/ab80b9e7c857c4962a3eb81d56158997f2cda421/src/java/org/apache/cassandra/utils/JsonUtils.java,SUCCESS_WITHOUT_CONFLICTS,3165854,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,94590456,31.555718ms,,,,,,,,,31.77341ms,SUCCESS_WITHOUT_CONFLICTS,42466311,32.258624ms,,,,,,,,,32.476242ms,SUCCESS_WITHOUT_CONFLICTS,34310345,30.97894ms,,,,,,,,,31.179417ms,TIMEOUT,0,,,,,,,,,,
apache/cassandra,ab80b9e7c857c4962a3eb81d56158997f2cda421,mergeAnalysisOutput/java/apache/cassandra/ab80b9e7c857c4962a3eb81d56158997f2cda421/test/unit/org/apache/cassandra/service/StartupChecksTest.java,SUCCESS_WITH_CONFLICTS,6125850,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,832191098,636.310993ms,187.875197ms,,0.0,0ns,,,,,826.028707ms,SUCCESS_WITH_CONFLICTS,964305029,640.216059ms,30.27963ms,6.651756ms,0.0,0ns,295.0482ms,276.46342ms,0.0,0ns,965.838382ms,SUCCESS_WITH_CONFLICTS,991690362,634.125991ms,30.497074ms,6.750115ms,0.0,0ns,295.144597ms,276.688547ms,0.0,0ns,960.071087ms,TIMEOUT,0,,,,,,,,,,
apache/cassandra,f7fab8a60acdb7df5fd9403ab4ee41fc14b13689,mergeAnalysisOutput/java/apache/cassandra/f7fab8a60acdb7df5fd9403ab4ee41fc14b13689/test/distributed/org/apache/cassandra/distributed/test/guardrails/GuardrailDiskUsageTest.java,SUCCESS_WITHOUT_CONFLICTS,2485899,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,76409311,72.662829ms,,,,,,,,,72.907826ms,SUCCESS_WITHOUT_CONFLICTS,76479989,72.304822ms,,,,,,,,,72.561312ms,SUCCESS_WITHOUT_CONFLICTS,75986152,72.473647ms,,,,,,,,,72.733305ms,SUCCESS_WITHOUT_CONFLICTS,440457443927,,,,,,,,,,
AxonFramework/AxonFramework,be1440be39cd51742c75fd2fc8ba142b476c0a0f,mergeAnalysisOutput/java/AxonFramework/AxonFramework/be1440be39cd51742c75fd2fc8ba142b476c0a0f/integrationtests/src/test/java/org/axonframework/integrationtests/queryhandling/AbstractSubscriptionQueryTestSuite.java,SUCCESS_WITH_CONFLICTS,3654462,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,1697346145,1.268928139s,361.008935ms,,0.0,0ns,,,,,1.631647252s,SUCCESS_WITHOUT_CONFLICTS,1560837916,1.26693849s,290.675211ms,261.617169ms,0.0,0ns,,,,,1.559294111s,SUCCESS_WITHOUT_CONFLICTS,1583615665,1.262641788s,293.066799ms,263.521947ms,0.0,0ns,,,,,1.557304015s,SUCCESS_WITH_CONFLICTS,1259040935,,,,,,,,,,
AxonFramework/AxonFramework,be1440be39cd51742c75fd2fc8ba142b476c0a0f,mergeAnalysisOutput/java/AxonFramework/AxonFramework/be1440be39cd51742c75fd2fc8ba142b476c0a0f/integrationtests/src/test/java/org/axonframework/integrationtests/queryhandling/DistributedQueryBusSubscriptionQueryTest.java,SUCCESS_WITHOUT_CONFLICTS,2746228,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,12583377,7.78939ms,,,,,,,,,8.002445ms,SUCCESS_WITHOUT_CONFLICTS,12017489,7.73538ms,,,,,,,,,7.944467ms,SUCCESS_WITHOUT_CONFLICTS,10737778,7.830544ms,,,,,,,,,8.018963ms,SUCCESS_WITHOUT_CONFLICTS,437612675492,,,,,,,,,,
AxonFramework/AxonFramework,be1440be39cd51742c75fd2fc8ba142b476c0a0f,mergeAnalysisOutput/java/AxonFramework/AxonFramework/be1440be39cd51742c75fd2fc8ba142b476c0a0f/integrationtests/src/test/java/org/axonframework/integrationtests/queryhandling/SimpleQueryBusSubscriptionQueryTest.java,SUCCESS_WITH_CONFLICTS,3010830,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,30772415,11.437993ms,11.739798ms,,0.0,0ns,,,,,24.625967ms,SUCCESS_WITHOUT_CONFLICTS,23350283,11.396744ms,7.232323ms,3.493843ms,0.0,0ns,,,,,20.030858ms,SUCCESS_WITHOUT_CONFLICTS,24403678,11.33312ms,7.364507ms,3.624871ms,0.0,0ns,,,,,20.113415ms,SUCCESS_WITH_CONFLICTS,851710330685,,,,,,,,,,
alibaba/nacos,87382160df0a7611dd197e43a884a7d19238c081,mergeAnalysisOutput/java/alibaba/nacos/87382160df0a7611dd197e43a884a7d19238c081/auth/src/main/java/com/alibaba/nacos/auth/HttpProtocolAuthService.java,SUCCESS_WITHOUT_CONFLICTS,2472391,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,12261475,9.487871ms,,,,,,,,,9.672258ms,SUCCESS_WITHOUT_CONFLICTS,12323427,9.622082ms,,,,,,,,,9.811515ms,SUCCESS_WITHOUT_CONFLICTS,12192803,9.518796ms,,,,,,,,,9.714446ms,SUCCESS_WITHOUT_CONFLICTS,513106122401,,,,,,,,,,
